user_address,timeStamp,stake_change,cumulative_stake,Year
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-22,5.050799373326203e+18,9.584552155057274e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-23,3.325002205149572e+18,9.61780217710877e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-24,6.761644193208646e+18,9.685418619040857e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-25,1.9547165704680546e+19,9.880890276087662e+20,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-26,2.1086818246411313e+19,1.0091758458551775e+21,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-27,2.5817939762046295e+18,1.0117576398313821e+21,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-28,2.675951261061132e+19,1.0385171524419934e+21,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-29,9.62336654225968e+18,1.048140518984253e+21,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-10-31,6.145508083363751e+18,1.0542860270676168e+21,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-11-01,4.595026090903268e+18,1.0588810531585201e+21,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-11-02,5.595371162246821e+18,1.064476424320767e+21,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-11-04,1.0448175291122984e+18,1.0655212418498792e+21,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-11-05,3.608272808594011e+18,1.0691295146584733e+21,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-11-06,1.0136024485677929e+18,1.070143117107041e+21,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-11-07,3.064944151756624e+17,1.0704496115222167e+21,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-11-08,1.063124383234087e+19,1.0810808553545576e+21,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-11-09,1.8111855994320247e+19,1.0991927113488778e+21,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-11-10,6.529547745203089e+18,1.1057222590940808e+21,2021
0x00469d388b06127221d6310843a43d079eb2bb18,2021-11-11,1.8912763661871055e+19,1.124635022755952e+21,2021
